n,num_bits,num_samples,learning_rate,hidden_dim,layers_num,num_samples_test,batch_size,epochs,test_loss
10,32,500,0.005,16,2,1000,64,100,0.1326744705438614
10,32,500,0.005,16,3,1000,32,100,0.13992442190647125
10,32,500,0.005,16,3,1000,64,100,0.13731445372104645
10,32,500,0.005,16,4,1000,32,100,0.1426474153995514
10,32,500,0.005,16,4,1000,64,100,0.1390232890844345
10,32,500,0.005,32,2,1000,32,100,0.16123832762241364
10,32,500,0.005,32,2,1000,64,100,0.1598687767982483
10,32,500,0.005,32,3,1000,32,100,0.18077926337718964
10,32,500,0.005,32,3,1000,64,100,0.1677902638912201
10,32,500,0.005,32,4,1000,32,100,0.18380610644817352
10,32,500,0.005,32,4,1000,64,100,0.16784211993217468
10,32,500,0.005,64,2,1000,32,100,0.20339499413967133
10,32,500,0.005,64,2,1000,64,100,0.19651420414447784
10,32,500,0.005,64,3,1000,32,100,0.2184782177209854
10,32,500,0.005,64,3,1000,64,100,0.21441014111042023
10,32,500,0.005,64,4,1000,32,100,0.2145250141620636
10,32,500,0.005,64,4,1000,64,100,0.21566233038902283
15,4,500,0.001,8,2,1000,32,100,0.08426357060670853
15,4,500,0.001,8,2,1000,64,100,0.0818493664264679
15,4,500,0.001,8,3,1000,32,100,0.09018265455961227
15,4,500,0.001,8,3,1000,64,100,0.08106126636266708
15,4,500,0.001,8,4,1000,32,100,0.08328956365585327
15,4,500,0.001,8,4,1000,64,100,0.08370934426784515
15,4,500,0.001,16,2,1000,32,100,0.09734629094600677
15,4,500,0.001,16,2,1000,64,100,0.0875600278377533
15,4,500,0.001,16,3,1000,32,100,0.09943737089633942
15,4,500,0.001,16,3,1000,64,100,0.09266524016857147
15,4,500,0.001,16,4,1000,32,100,0.10678813606500626
15,4,500,0.001,16,4,1000,64,100,0.11210211366415024
15,4,500,0.001,32,2,1000,32,100,0.11031302809715271
15,4,500,0.001,32,2,1000,64,100,0.09237083792686462
15,4,500,0.001,32,3,1000,32,100,0.1263769268989563
15,4,500,0.001,32,3,1000,64,100,0.11373735219240189
